kanji,hiragana,english,level
考慮,こうりょ,"consideration,taking into account",N4
者,もの,person,N4
職,しょく,employment,N4
職業,しょくぎょう,"occupation,business",N4
肌,はだ,skin,N4
肩,かた,shoulder,N4
育つ,そだつ,"to raise (child),to be brought up,to grow (up)",N4
胃,い,stomach,N4
胸,むね,"breast,chest",N4
能,のう,"being skilled in,nicely,properly",N4
能力,のうりょく,"ability,faculty",N4
脇,わき,side,N4
腐る,くさる,"to rot,to go bad",N4
腰,こし,hip,N4
腹,はら,"abdomen,belly,stomach",N4
膝,ひざ,"knee,lap",N4
自動,じどう,"automatic,self-motion",N4
自慢,じまん,"pride,boast",N4
自殺,じさつ,suicide,N4
自然,しぜん,"nature,spontaneous",N4
自身,じしん,"by oneself,personally",N4
臭い,くさい,"odour,scent,smell,stench",N4
至る,いたる,"to come,to arrive",N4
舌,した,tongue,N4
舞台,ぶたい,stage (theatre),N4
航空,こうくう,"aviation,flying",N4
船,ふね,"ship,boat,watercraft,shipping,vessel,steamship",N4
芝居,しばい,"play,drama",N4
芝生,しばふ,lawn,N4
芸術,げいじゅつ,"(fine) art,the arts",N4
芽,め,sprout,N4
苦しい,くるしい,"painful,difficult",N4
苦しむ,くるしむ,"to suffer,to groan,to be worried",N4
苦労,くろう,"troubles,hardships",N4
苦手,にがて,"poor (at),weak (in),dislike (of)",N4
苦痛,くつう,"pain,agony",N4
茶,ちゃ,tea,N4
莫大,ばくだい,"enormous,vast",N4
菓子,かし,pastry,N4
著者,ちょしゃ,"author,writer",N4
虎,とら,tiger,N4
虫歯,むしば,"cavity,tooth decay,decayed tooth,caries",N4
行き,ゆき,going,N4
行儀,ぎょうぎ,manners,N4
行動,こうどう,"action,conduct,behaviour,mobilization",N4
街,まち,"(N1) town,(N2) street,road",N4
衛星,えいせい,satellite,N4
衝突,しょうとつ,"collision,conflict",N4
衣服,いふく,clothes,N4
表,ひょう,"table (e.g. Tab N1),chart,list",N4
表す,あらわす,"to express,to show,to reveal",N4
表情,ひょうじょう,facial expression,N4
表現,ひょうげん,"expression,presentation,representation (math)",N4
表面,ひょうめん,"surface,outside,face,appearance",N4
袋,ふくろ,"bag,sack",N4
袖,そで,sleeve,N4
被る,かぶる,to suffer,N4
被害,ひがい,damage,N4
裁判,さいばん,"trial,judgement",N4
装置,そうち,"equipment,installation,apparatus",N4
裏切る,うらぎる,"to betray,to turn traitor to,to double-cross",N4
裸,はだか,"naked,nude",N4
製品,せいひん,"manufactured goods,finished goods",N4
製造,せいぞう,"manufacture,production",N4
褒める,ほめる,"to praise,to admire,to speak well",N4
要するに,ようするに,"in a word,after all,the point is ..,in short ..",N4
要求,ようきゅう,"request,demand,requisition",N4
要点,ようてん,"gist,main point",N4
要素,ようそ,element,N4
覆う,おおう,"to cover,to hide,to conceal,to wrap,to disguise",N4
見る,みる,"to see,to watch",N4
見事,みごと,"splendid,magnificent,beautiful,admirable",N4
見当,けんとう,"be found,aim,estimate,guess,approx",N4
見舞い,みまい,"enquiry,expression of sympathy,expression of concern",N4
見解,けんかい,"opinion,point of view",N4
見送り,みおくり,"seeing one off,farewell,escort",N4
覚ます,さます,to awaken,N4
覚める,さめる,"to wake,to wake up",N4
覚悟,かくご,"resolution,resignation,readiness,preparedness",N4
親しい,したしい,"intimate,close (e.g. friend)",N4
親友,しんゆう,"close friend,buddy",N4
親戚,しんせき,relative,N4
観光,かんこう,sightseeing,N4
観客,かんきゃく,"audience,spectator(s)",N4
観察,かんさつ,"observation,survey",N4
解く,とく,to unfasten,N4
解ける,とける,"to come untied,to come apart",N4
解決,かいけつ,"settlement,solution,resolution",N4
解釈,かいしゃく,"explanation,interpretation",N4
触れる,ふれる,"to touch,to be touched,to touch on a subject,to feel,to violate (law, copyright, etc.),to perceive,t",N4
言わば,いわば,so to speak,N4
言語,げんご,language,N4
計,けい,plan,N4
計る,はかる,"to measure,to weigh,to survey",N4
計画,けいかく,"plan,project,schedule,scheme,program",N4
計算,けいさん,"calculation,reckoning",N4
訓,くん,native Japanese reading of a Chinese character,N4
訓練,くんれん,"practice,training",N4
記事,きじ,"article,news story,report,account",N4
記入,きにゅう,"entry,filling in of forms",N4
記念,きねん,"commemoration,memory",N4
記憶,きおく,"memory,recollection,remembrance",N4
記者,きしゃ,reporter,N4
記録,きろく,"record,minutes,document",N4
訪問,ほうもん,"call,visit",N4
設備,せつび,"equipment,device,facilities,installation",N4
設計,せっけい,"plan,design",N4
許す,ゆるす,"to permit,to allow,to approve",N4
許可,きょか,"permission,approval",N4
訳,やく,"meaning,reason,circumstances,can be deduced,situation",N4
訴える,うったえる,"to sue (a person),to resort to,to appeal to",N4
診察,しんさつ,medical examination,N4
証明,しょうめい,"proof,verification",N4
評価,ひょうか,"valuation,estimation,assessment,evaluation",N4
評判,ひょうばん,"fame,reputation,popularity,arrant",N4
試し,ためし,"trial,test",N4
試す,ためす,"to attempt,to test",N4
詩,し,"poem,verse of poetry",N4
詩人,しじん,poet,N4
詰める,つめる,"to pack,to shorten,to work out (details)",N4
話し合う,はなしあう,"to discuss,to talk together",N4
話題,わだい,"topic,subject",N4
詳しい,くわしい,"knowing very well,detailed,full,accurate",N4
誇り,ほこり,pride,N4
認める,みとめる,"to recognize,to appreciate,to approve,to admit,to notice",N4
誕生,たんじょう,birth,N4
誘う,さそう,"(N1) to invite,to ask,(N2) to tempt,to lure,to induce",N4
語,ご,"language,word",N4
語る,かたる,"to talk,to tell,to recite",N4
語学,ごがく,language study,N4
誤り,あやまり,error,N4
誤解,ごかい,misunderstanding,N4
説,せつ,theory,N4
読み,よみ,reading,N4
読書,どくしょ,reading,N4
誰か,だれか,"someone,somebody",N4
課,か,counter for chapters (of a book),N4
調子,ちょうし,"tune,tone,key",N4
調査,ちょうさ,"investigation,examination,inquiry,survey",N4
請求,せいきゅう,"claim,demand,application,request",N4
論じる,ろんじる,"to argue,to discuss,to debate",N4
論争,ろんそう,"controversy,dispute",N4
論文,ろんぶん,"thesis,essay,treatise,paper",N4
諦める,あきらめる,"to give up,to abandon",N4
諺,ことわざ,"proverb,maxim",N4
謎,なぞ,"riddle,puzzle,enigma",N4
講演,こうえん,"lecture,address",N4
警告,けいこく,"warning,advice",N4
議会,ぎかい,"Diet,congress,parliament",N4
議員,ぎいん,"member of the Diet, congress or parliament",N4
議論,ぎろん,"argument,discussion,dispute",N4
議長,ぎちょう,chairman,N4
譲る,ゆずる,"to turn over,to assign,to hand over",N4
谷,たに,valley,N4
豆,まめ,"beans,peas",N4
豊か,ゆたか,"abundant,wealthy,plentiful,rich",N4
豊富,ほうふ,"abundance,wealth,plenty,bounty",N4
象,ぞう,elephant,N4
豪華,ごうか,"wonderful,gorgeous,splendor,pomp,extravagance",N4
負け,まけ,"defeat,loss,losing (a game)",N4
財産,ざいさん,"property,fortune,assets",N4
貢献,こうけん,"contribution,services",N4
貧しい,まずしい,"poor,needy",N4
販売,はんばい,"sale,selling,marketing",N4
責める,せめる,"to condemn,to blame,to criticize",N4
責任,せきにん,"duty,responsibility",N4
貯金,ちょきん,(bank) savings,N4
貰う,もらう,to receive,N4
貴重,きちょう,"precious,valuable",N4
貸し,かし,"loan,lending",N4
費用,ひよう,"cost,expense",N4
資本,しほん,"funds,capital",N4
資源,しげん,resources,N4
賛成,Uӣ[い,"approval,agreement,support,favour",N4
賞,しょう,"prize,award",N4
賢い,かしこい,"wise,clever,smart",N4
質,しつ,"quality,nature (of person)",N4
贅沢,ぜいたく,"luxury,extravagance",N4
贈る,おくる,"to send,to give to,to award to,to confer on",N4
起こる,おこる,"to occur,to happen",N4
越える,こえる,"to exceed,to cross over,to cross",N4
越す,こす,to go over (e.g. with audience),N4
跡,あと,"(N1) trace,tracks,mark,sign,(N2) remains,ruins,(N3) scar",N4
身,み,"body,main part,oneself,sword",N4
身体,しんたい,the body,N4
身長,しんちょう,"height (of body),stature",N4
軍,ぐん,"army,force,troops",N4
軍隊,ぐんたい,"army,troops",N4
軒,のき,eaves,N4
転ぶ,ころぶ,"to fall down,to fall over",N4
輝く,かがやく,"to shine,to glitter,to sparkle",N4
輪,わ,"ring,hoop,circle",N4
輸入,ゆにゅう,"importation,import,introduction",N4
輸出,ゆしゅつ,export,N4
轢く,ひく,"to run somebody over (with vehicle),to knock someone down",N4
辞める,やめる,to retire,N4
農家,のうか,"farmer,farm family",N4
農業,のうぎょう,agriculture,N4
農民,のうみん,"farmers,peasants",N4
辺り,あたり,"vicinity,nearby",N4
迎え,むかえ,"meeting,person sent to pick up an arrival",N4
近代,きんだい,present day,N4
近頃,ちかごろ,"lately,recently,nowadays",N4
述べる,のべる,"to state,to express,to mention",N4
迷子,まいご,lost (stray) child,N4
迷惑,めいわく,"trouble,bother,annoyance",N4
追い付く,おいつく,"to overtake,to catch up (with)",N4
追う,おう,"to chase,to run after",N4
退屈,たいくつ,"tedium,boredom",N4
逆,ぎゃく,"reverse,opposite",N4
逆らう,さからう,"to go against,to oppose,to disobey,to defy",N4
途端,とたん,"just (now, at the moment, etc.)",N4
通じる,つうじる,"to run to,to lead to,to communicate,to understand",N4
通す,とおす,"to let pass,to overlook,to continue",N4
通り,とおり,"in accordance with ~,following ~,~ Street,~ Avenue",N4
通り過ぎる,とおりすぎる,"to pass,to pass through",N4
通信,つうしん,"correspondence,communication,news,signal",N4
通学,つうがく,commuting to school,N4
通行,つうこう,"passage,passing",N4
通過,つうか,"passage through,passing",N4
速度,そくど,"speed,velocity,rate",N4
連れ,つれ,"companion,company",N4
連想,れんそう,"association (of ideas),suggestion",N4
連続,れんぞく,"serial,consecutive,continuity,continuing",N4
逮捕,たいほ,"arrest,apprehension,capture",N4
週,しゅう,week,N4
週間,しゅうかん,"week,weekly",N4
進める,すすめる,"to advance,to promote,to hasten",N4
進学,しんがく,going on to university,N4
進歩,しんぽ,"progress,development",N4
遂に,ついに,"finally,at last",N4
遅刻,ちこく,"lateness,late coming",N4
運,うん,"fortune,luck",N4
運動,うんどう,"motion,exercise",N4
運転,うんてん,"operation,motion,driving",N4
過ごす,すごす,"to pass,to spend,to go through,to tide over",N4
過去,かこ,"the past,bygone days,the previous",N4
道徳,どうとく,morals,N4
道路,どうろ,"road,highway",N4
達する,たっする,"to reach,to get to",N4
違い,ちがい,"difference,discrepancy",N4
違いない,ちがいない,"(phrase) sure,no mistaking it,for certain",N4
違反,いはん,"violation (of law),transgression,infringement,breach",N4
遠慮,えんりょ,"diffidence,restraint,reserve",N4
適する,てきする,"to fit,to suit",N4
適切,てきせつ,"pertinent,appropriate,adequate,relevance",N4
適度,てきど,moderate,N4
適用,てきよう,applying,N4
選手,せんしゅ,"(N1) player (in game),(N2) team",N4
選択,せんたく,"selection,choice",N4
避ける,さける,"(N1) to avoid (physical contact ),(N2) to ward off,to avert",N4
邪魔,じゃま,"hindrance,intrusion",N4
部分,ぶぶん,"portion,section,part",N4
郵便,ゆうびん,"mail,postal service",N4
都,みやこ,capital,N4
都会,とかい,city,N4
都市,とし,"town,city,municipal,urban",N4
配達,はいたつ,"delivery,distribution",N4
酒,さけ,"alcohol,sake",N4
酔う,よう,"to get drunk,to become intoxicated",N4
酸素,さんそ,oxygen,N4
重大,じゅうだい,"serious,important,grave,weighty",N4
重要,じゅうよう,"important,momentous,essential,principal,major",N4
重視,じゅうし,"importance,stress,serious consideration",N4
野,の,field,N4
量,りょう,"quantity,amount,volume,portion (of food)",N4
金,かね,"(N1) gold,(N2) gold general (shogi) (abbr)",N4
金属,きんぞく,metal,N4
金庫,きんこ,"safe,vault,treasury,provider of funds",N4
金持ち,かねもち,rich man,N4
金曜,きんよう,(abbr) Friday,N4
金融,きんゆう,"monetary circulation,credit situation",N4
金銭,きんせん,"money,cash",N4
金額,きんがく,amount of money,N4
針,はり,"needle,hand (e.g. clock)",N4
釣,つり,,N4
鉄,てつ,iron,N4
鉄道,てつどう,railroad,N4
銀,ぎん,"(N1) silver,silver coin,silver paint",N4
銃,じゅう,gun,N4
鋭い,するどい,"pointed,sharp",N4
鍋,なべ,"saucepan,pot",N4
鍵,かぎ,key,N4
鎖,くさり,chain,N4
長期,ちょうき,long time period,N4
閉じる,とじる,"to close (e.g. book, eyes),to shut",N4
開始,かいし,"start,commencement,beginning",N4
間,ま,"space,room,time,pause",N4
間違い,まちがい,mistake,N4
関する,かんする,"to concern,to be related",N4
関心,かんしん,"concern,interest",N4
関連,かんれん,"relation,connection,relevance",N4
防ぐ,ふせぐ,"to defend (against),to protect,to prevent",N4
降ろす,おろす,"to take down,to launch,to drop",N4
限る,かぎる,"to restrict,to limit,to confine",N4
限界,げんかい,"limit,bound",N4
除く,のぞく,"to remove,to exclude,to except",N4
陰,かげ,"shade,shadow,other side",N4
陸,りく,six (used in legal documents),N4
陽気,ようき,"season,weather,cheerfulness",N4
随分,ずいぶん,extremely,N4
際,さい,"on the occasion of,circumstances",N4
障害,しょうがい,"obstacle,impediment (fault),damage",N4
隠す,かくす,"to hide,to conceal",N4
隠れる,かくれる,"to hide,to be hidden,to conceal oneself,to disappear",N4
集まり,あつまり,"gathering,meeting,assembly,collection",N4
集中,しゅうちゅう,"concentration,focusing the mind",N4
集団,しゅうだん,"group,mass",N4
雇う,やとう,"to employ,to hire",N4
離す,はなす,"to part,divide,separate",N4
離れる,はなれる,"to be separated from,to leave,to go away,to be a long way off",N4
離婚,りこん,divorce,N4
雰囲気,ふんいき,"atmosphere (e.g. musical),mood,ambience",N4
雷,かみなり,thunder,N4
電子,でんし,electron,N4
需要,じゅよう,"demand,request",N4
震える,ふるえる,"to shiver,to shake,to quake",N4
霜,しも,frost,N4
霧,きり,"fog,mist",N4
青年,せいねん,"youth,young man",N4
非常,ひじょう,"emergency,extraordinary,unusual",N4
面,めん,"face,mug,surface,facial features,mask,face guard,side or facet,corner,page",N4
面倒,めんどう,"trouble,difficulty,care,attention",N4
革,かわ,leather,N4
音,おん,"sound,note",N4
頂く,いただく,"to receive,to take food or drink (hum)",N4
頂上,ちょうじょう,"top,summit,peak",N4
頃,ころ,"time,about,toward,approximately (time)",N4
順,じゅん,"order,turn",N4
順番,じゅんばん,"turn (in line),order of things",N4
順調,じゅんちょう,"favourable,doing well,O.K.,all right",N4
預ける,あずける,"to give into custody,to entrust,to deposit",N4
頬,ほほ,cheek (of face),N4
頭痛,ずつう,headache,N4
頼る,たよる,"to rely on,to have recourse to,to depend on",N4
題,だい,"title,subject,theme,topic",N4
額,がく,"forehead,brow",N4
願い,ねがい,"desire,wish,request",N4
願う,ねがう,"to desire,to wish,to request",N4
風呂,ふろ,bath,N4
風景,ふうけい,scenery,N4
飛ばす,とばす,"to skip over,to omit",N4
飛び出す,とびだす,"to jump out,to rush out,to fly out",N4
飛行,ひこう,aviation,N4
食う,くう,(male) (vulg) to eat,N4
食事,しょくじ,meal,N4
食卓,しょくたく,dining table,N4
食品,しょくひん,"commodity,foodstuff",N4
食料,しょくりょう,food,N4
食欲,しょくよく,appetite (for food),N4
食物,しょくもつ,"food,foodstuff",N4
食糧,しょくりょう,"provisions,rations",N4
飯,めし,"(sl) meals,food",N4
飼う,かう,"to keep,to raise,to feed",N4
飽きる,あきる,"to get tired of,to lose interest in,to have enough",N4
餌,えさ,"feed,bait",N4
首相,しゅしょう,Prime Minister,N4
首都,しゅと,capital city,N4
香り,かおり,"aroma,fragrance,scent,smell",N4
馬,うま,"(N1) horse,(N2) promoted bishop (shogi)",N4
馬鹿,ばか,"fool,idiot,trivial matter,folly",N4
駄目,だめ,"useless,no good,hopeless",N4
駐車,ちゅうしゃ,parking (e.g. car),N4
騒ぎ,さわぎ,"uproar,disturbance",N4
騒音,そうおん,noise,N4
骨,ほね,bone,N4
骨折,こっせつ,bone fracture,N4
高価,こうか,high price,N4
高速,こうそく,"high speed,high gear",N4
髪の毛,かみのけ,hair (head),N4
鬼,おに,"ogre,demon,it (i.e., in a game of tag)",N4
魅力,みりょく,"charm,fascination,glamour",N4
黒板,こくばん,blackboard,N4
黙る,だまる,to be silent,N4
鼠,ねずみ,"(N1) mouse,rat,(N2) dark gray,slate color",N4
立,たいりつ,"confrontation,opposition,antagonism",N2
お代わり,おかわり,"second helping,another cup",N2
お参り,おまいり,"worship,shrine visit",N2
お帰り,おかえり,"return,welcome",N2
お手伝いさん,おてつだいさん,maid,N2
けれど/けれども,,"but,however",N2
こうして,こうして,thus,N2
しいんと,（する）,"silent (as the grave),(deathly) quiet",N2
じゅうたん,（カーペット）,carpet,N2
だいいち,（副）,"first,foremost,# N1",N2
ミリ,（メートル）,"milli-,N10^-N3",N2
一休み,ひとやすみ,a rest,N2
一定,いってい,"fixed,settled,definite",N2
一応,いちおう,"once,tentatively,in outline,for the time being",N2
一斉,いっせい,"simultaneous,all at once",N2
一旦,いったん,"once,for a moment,one morning,temporarily",N2
一段と,いちだんと,"greater,more,further,still more",N2
一流,いちりゅう,"first class,top grade,foremost,top-notch",N2
一通り,ひととおり,"ordinary,usual,in general,briefly",N2
万歳,ばんざい,"hurrah, cheers",N2
三日月,みかづき,"new moon,crescent moon",N2
三角,さんかく,"triangle,triangular",N2
上り,のぼり,"up-train (going to Tokyo),ascent",N2
上る,のぼる,"to ascend,to go up,to climb",N2
上下,じょうげ,"high and low,up and down,unloading and loading,praising and blaming",N2
上旬,じょうじゅん,first N10 days of month,N2
上級,じょうきゅう,"advanced level,high grade,senior",N2
下る,くだる,"to get down,to descend",N2
下品,げひん,"vulgarity,meanness,indecency,coarseness",N2
下旬,げじゅん,month (last third of),N2
下書き,したがき,"rough copy,draft",N2
下水,げすい,"drainage,sewage,ditch,gutter,sewerage",N2
下町,したまち,"Shitamachi,lower parts of town",N2
下線,かせん,"underline,underscore",N2
下車,げしゃ,"alighting,getting off",N2
下降,かこう,"downward,descent,fall,drop,subsidence",N2
下駄,げた,"geta (Japanese footwear),wooden clogs",N2
不潔,ふけつ,"unclean,dirty,filthy,impure",N2
不規則,ふきそく,"irregularity,unsteadiness,disorderly",N2
不通,ふつう,"suspension,interruption,stoppage,tie-up,cessation",N2
不運,ふうん,"unlucky,misfortune,bad luck,fate",N2
両側,りょうがわ,both sides,N2
並木,なみき,"roadside tree,row of trees",N2
並行,へいこう,"(going) side by side,concurrent,abreast,at the same time",N2
中世,ちゅうせい,"Middle Ages,mediaeval times",N2
中味,なかみ,"contents,interior,substance,filling,(sword) blade",N2
中年,ちゅうねん,middle-aged,N2
中性,ちゅうせい,"neuter gender,neutral (chem.),indifference,sterility",N2
中指,なかゆび,middle finger,N2
中旬,ちゅうじゅん,second third of a month,N2
中身,なかみ,"contents,interior,substance,filling,(sword) blade",N2
中途,ちゅうと,"in the middle,half-way",N2
中間,ちゅうかん,"middle,midway,interim",N2
主役,しゅやく,"leading part,leading actor (actress)",N2
主語,しゅご,(gram) subject,N2
丼,どんぶり,"porcelain bowl,bowl of rice with food on top",N2
乗換,のりかえ,"(n) transfer (trains, buses, etc.)",N2
乗車,じょうしゃ,"taking a train,entraining",N2
乱暴,らんぼう,"rude,violent,rough,lawless,unreasonable,reckless",N2
乾かす,かわかす,"to dry (clothes, etc.),to desiccate",N2
乾杯,かんぱい,toast (drink),N2
乾燥,かんそう,"dry,arid,insipid,dehydrated",N2
乾電池,かんでんち,"dry cell,battery",N2
予備,よび,"preparation,preliminaries,reserve,spare",N2
争う,あらそう,"to dispute,to argue,to be at variance,to compete",N2
五十音,ごじゅうおん,the Japanese syllabary,N2
井戸,いど,water well,N2
亡くす,なくす,"to lose someone, wife, child, etc",N2
交ざる,まざる,"to be mixed,to be blended with,to associate with,to mingle with,to join",N2
交じる,まじる,"to be mixed,to be blended with,to associate with",N2
交ぜる,まぜる,"to be mixed,to be blended with",N2
交差,こうさ,cross,N2
交替,こうたい,"alternation,change,relief,relay,shift",N2
交流,こうりゅう,"alternating current,intercourse,(cultural) exchange,intermingling",N2
交通機関,こうつうきかん,transportation facilities,N2
人命,じんめい,(human) life,N2
人差指,ひとさしゆび,index finger,N2
人文科学,じんぶんかがく,"social sciences,humanities",N2
人通り,ひとどおり,pedestrian traffic,N2
人造,じんぞう,"man-made,synthetic,artificial",N2
仕上がる,しあがる,to be finished,N2
付合う,つきあう,"to associate with,to keep company with,to get on with",N2
付近,ふきん,"neighbourhood,vicinity,environs",N2
代える,かえる,"to exchange,to interchange,to substitute,to replace",N2
代る,かわる,"(vN5r,vi) to take the place of,to relieve,to be substituted for",N2
代名詞,だいめいし,pronoun,N2
以後,いご,"after this,from now on,hereafter,thereafter",N2
以降,いこう,"on and after,hereafter,thereafter",N2
仮名,かな,"(n) alias,pseudonym,pen name",N2
仮名遣い,かなづかい,"kana orthography,syllabary spelling",N2
仮定,かてい,"assumption,supposition,hypothesis",N2
仲直り,なかなおり,"reconciliation,make peace with",N2
仲良し,なかよし,"intimate friend,bosom buddy,chum",N2
休息,きゅうそく,"rest,relief,relaxation",N2
休業,きゅうぎょう,"closed (e.g. store),business suspended,shutdown,holiday",N2
休講,きゅうこう,lecture cancelled,N2
休養,きゅうよう,"rest,break,recreation",N2
会館,かいかん,"meeting hall,assembly hall",N2
伝わる,つたわる,"to be handed down,to be introduced,to be transmitted",N2
伝染,でんせん,contagion,N2
伝記,でんき,"biography,life story",N2
伯母さん,おばさん,(hon) aunt,N2
伯父さん,おじさん,"middle-aged gentleman,uncle",N2
但し,ただし,"but,however,provided that",N2
低下,ていか,"fall,decline,lowering,deterioration",N2
住まい,すまい,"dwelling,house,residence,address",N2
住居,じゅうきょ,"dwelling,house,residence,address",N2
体制,たいせい,"order,system,structure,set-up,organization",N2
体操,たいそう,"gymnastics,physical exercises,calisthenics",N2
体積,たいせき,"capacity,volume",N2
体系,たいけい,"system,organization",N2
何々,なになに,"such and such,What?",N2
何分,なにぶん,"what minute?,how many minutes?",N2
余る,あまる,"to remain,to be left over,to be in excess,to be too many",N2
余所,よそ,"another place,somewhere else,strange parts",N2
余計,よけい,"too much,unnecessary,abundance,surplus,excess,superfluity",N2
佚,いつ,"be lost,peace,hide,mistake,beautiful,in turn",N2
作る/造る,つくる,"to make,to create",N2
作成,さくせい,"frame,draw up,make,producing",N2
作者,さくしゃ,"author,authoress",N2
作製,さくせい,manufacture,N2
例える,たとえる,"to compare,to liken,to speak figuratively,to illustrate,to use a simile",N2
例外,れいがい,exception,N2
侵入,しんにゅう,"penetration,invasion,raid,aggression,trespass",N2
便所,べんじょ,"toilet,lavatory,rest room,latrine,comfort station",N2
便箋,びんせん,"writing paper,stationery",N2
係わる,かかわる,"to concern oneself in,to have to do with,to affect,to influence,to stick to (opinions)",N2
俄,にわか,"sudden,abrupt,unexpected,improvised,offhand",N2
保健,ほけん,"health preservation,hygiene,sanitation",N2
信ずる,しんずる,"to believe,to believe in,to place trust in",N2
修繕,しゅうぜん,"repair,mending",N2
俳句,はいく,haiku poetry,N2
倉庫,そうこ,"storehouse,warehouse,godown",N2
個体,こたい,an individual,N2
個所,かしょ,"passage,place,point,part",N2
倣う,ならう,"to imitate,to follow,to emulate",N2
偉い,えらい,"great,celebrated,eminent,terrible,awful,famous,remarkable,excellent",N2
停止,ていし,"suspension,interruption,stoppage,ban",N2
停車,ていしゃ,stopping (e.g. train),N2
停電,ていでん,failure of electricity,N2
偶数,ぐうすう,even number,N2
傑作,けっさく,"masterpiece,best work,boner,blunder",N2
催し,もよおし,"event,festivities,function",N2
催促,さいそく,"request,demand,claim,urge (action),press for",N2
傾く,かたむく,"to incline toward,to slant,to lurch",N2
儀式,ぎしき,"ceremony,rite,ritual,service",N2
儲かる,もうかる,"to be profitable,to yield a profit",N2
儲ける,もうける,"to get,to earn,to gain,to have (bear, beget) a child",N2
元々,もともと,"originally,by nature,from the start",N2
先々月,せんせんげつ,month before last,N2
先祖,せんぞ,ancestor,N2
先程,さきほど,some time ago,N2
先端,せんたん,"pointed end,tip,fine point",N2
先頭,せんとう,"head,lead,vanguard,first",N2
光線,こうせん,"beam,light ray",N2
免税,めんぜい,"tax exemption,duty exemption",N2
児童,じどう,"children,juvenile",N2
入れ物,いれもの,"container,case,receptacle",N2
入社,にゅうしゃ,entry to a company,N2
全般,ぜんぱん,"(the) whole,universal,wholly,general",N2
全身,ぜんしん,"the whole body,full-length (portrait)",N2
全集,ぜんしゅう,complete works,N2
公共,こうきょう,"public,community,public service,society,communal",N2
公務,こうむ,"official business,public business",N2
公害,こうがい,"public nuisance,pollution",N2
公式,こうしき,"formula,formality,official",N2
公正,こうせい,"justice,fairness,impartiality",N2
公衆,こうしゅう,the public,N2
公表,こうひょう,"official announcement,proclamation",N2
兵隊,へいたい,"soldier,sailor",N2
具える,そなえる,to be furnished with,N2
兼ねる,かねる,"to hold (position),to serve,to be unable",N2
内科,ないか,"internist clinic,internal medicine",N2
内線,ないせん,"phone extension,indoor wiring,inner line",N2
円い,まるい,"round,circular,spherical",N2
円周,えんしゅう,circumference,N2
再三,さいさん,"again and again,repeatedly",N2
再来年,さらいねん,year after next,N2
再来月,さらいげつ,month after next,N2
再来週,さらいしゅう,week after next,N2
写る,うつる,"to be photographed,to be projected",N2
写生,しゃせい,"sketching,drawing from nature",N2
冠,かんむり,"crown,diadem,first,best",N2
冷ます,さます,"to cool,to dampen,to let cool",N2
冷める,さめる,"to become cool,to wear off,to abate,to subside",N2
冷やす,ひやす,"to cool,to refrigerate",N2
冷凍,れいとう,"freezing,cold storage,refrigeration",N2
凍える,こごえる,"to freeze,to be chilled,to be frozen",N2
凸凹,でこぼこ,"unevenness,roughness,ruggedness",N2
凹む,へこむ,"to be dented,to be indented,to yield to,to give,to sink,to collapse,to cave in,to be snubbed",N2
出入り,でいり,"in and out,coming and going,free association,income and expenditure,debits and credit",N2
出入口,でいりぐち,exit and entrance,N2
出勤,しゅっきん,"going to work,at work",N2
出合い,であい,an encounter,N2
出張,しゅっちょう,"official tour,business trip",N2
出掛ける,でかける,"to depart,to set out,to start,to be going out",N2
出来上がり,できあがり,"be finished,ready,made for,cut out",N2
出来上がる,できあがる,"(N1) to be finished,to be ready,by definition,(N2) to be very drunk",N2
出迎え,でむかえ,"meeting,reception",N2
出迎える,でむかえる,"to meet,to greet",N2
分かれる,わかれる,"to branch off,to diverge from,to fork,to split,to dispense,to scatter,to divide into",N2
分る,わかる,to be understood,N2
分布,ぶんぷ,distribution,N2
分数,ぶんすう,fraction (in math),N2
分解,ぶんかい,"analysis,disassembly",N2
分量,ぶんりょう,"amount,quantity",N2
分類,ぶんるい,classification,N2
列島,れっとう,chain of islands,N2
初旬,しょじゅん,first N10 days of the month,N2
初級,しょきゅう,elementary level,N2
判事,はんじ,"judge,judiciary",N2
判子,はんこ,seal (used for signature),N2
別々,べつべつ,"separately,individually",N2
別荘,べっそう,"holiday house,villa",N2
利害,りがい,"advantages and disadvantages,interest",N2
制作,せいさく,"work (film, book)",N2
刷る,する,to print,N2
刺さる,ささる,"to stick,to be stuck",N2
刺す,さす,"to pierce,to stab,to prick,to thrust",N2
刺身,さしみ,sliced raw fish,N2
刻む,きざむ,"to mince,to carve,to engrave",N2
剃る,そる,to shave,N2
剃刀,かみそり,razor,N2
削る,けずる,"to cut down little by little,to take a percentage",N2
削除,さくじょ,"elimination,cancellation,deletion,erasure",N2
前後,ぜんご,"around,throughout,front and back,before and behind,before and after",N2
剥く,むく,"to peel,to skin,to pare,to hull",N2
剥す,はがす,"(vN5s) to tear off,to peel off,to rip off",N2
副詞,ふくし,adverb,N2
割と,わりと,"relatively, comparitively",N2
割引,わりびき,"discount,reduction,rebate",N2
割算,わりざん,division (math),N2
創作,そうさく,"production,literary creation,work",N2
力強い,ちからづよい,"reassuring,emboldened",N2
功績,こうせき,"achievements,merit,meritorious service,meritorious deed",N2
加熱,かねつ,heating,N2
加速,かそく,acceleration,N2
加速度,かそくど,acceleration,N2
助かる,たすかる,"to be saved,to be rescued,to survive,to be helpful",N2
